feature_name,feature_tag,Name,Address,Latitude,Longitude,Location (CS),State,Nearest(poi)
mixstore,convenience_store,MiX Store @ PJ Section 17,"937, Jalan 17/38, 46400 Petaling Jaya Malaysia.",3.1282974,101.6322373,PJ Section 17,Petaling Jaya,"['Car Wash', 'Klinik Desa Damansara', 'Masjid Ar Rahman']"
mixstore,convenience_store,MiX Store @ PJ Seapark,"5, Jalan 21/17, Sea Park, 46300 Petaling Jaya, Selangor.",3.1093674,101.6201276,PJ Seapark,Selangor,"['Pizza Hut @ Sea Park', 'Jalan 21/31 Sea Park', 'BSN']"
mixstore,convenience_store,MiX Store @ Kajang MKH,"NO.13,MKH BOULEVARD 2,JALAN BUKIT,TAMAN BUKIT MEWAH,43000 KAJANG,SELANGOR.",2.9848976,101.7886368,Kajang MKH,Selangor,"['Cendol', 'Cendol Jalan Reko', '雄记板面']"
mixstore,convenience_store,MiX Store @ Kajang Pearl Avenue,"A-S-15(G), Pearl Avenue, Jalan Pasir Emas, Sg Chua 43000 Kajang, Selangor.",2.9834818,101.7785667,Kajang Pearl Avenue,Selangor,"['萧家辣汤', 'Restoran Siaw Kah', '明民海鲜饭店']"
mixstore,convenience_store,MiX Store @ Klang Bukit Raja,"27, Jalan Rodat 2A/KU5, Bandar Bukit Raja, Klang, Selangor.",3.0449531,101.3801973,Klang Bukit Raja,Selangor,"['IBS Conrete Panels MFG Sdn Bhd', 'Freight Management', 'Freight Management (M) Sdn Bhd']"
mixstore,convenience_store,MiX Store @ Semenyih,"F-07-01, Block F, Pusat Komersial Dataran EcoHill, Jalan EcoHill 1/2, 43500 Semenyih, Selangor.",2.9253817,101.8538313,Semenyih,Selangor,"['99 Speedmart Taipan Ecohill', ""Rest'1 Bistro"", 'Kkx 50 Restaurant 50号辣汤']"
mixstore,convenience_store,MiX Store @ SS25,"No. 5 &No. 7 , Jalan SS25/12, Taman Mayang, 47301 Petaling Jaya, ​Selangor.",3.1120991,101.5968609,SS25,Selangor,"['MK Magnet', 'Monument', 'SKYNET Worldwide']"
mixstore,convenience_store,MiX Store @ Rawang,"5-1, Jalan Anggun City 1, Pusat Komersial Anggun City, Taman Anggun, 48000 Rawang, Selangor",3.3176808,101.5337923,Rawang,Selangor,"['Fish World Accesories Supplies', ""Domino's Pizza"", 'CIMB ATM']"
mixstore,convenience_store,MiX Store @ Serdang,"74-G, JALAN BS 1/1, Olive Hill Business Park, 43300 Sri Kembangan, Selangor",3.013169,101.6933863,Serdang,Selangor,"['Instea @ Taman Bukit Serdang', 'Gym @ Bayan Villa', 'Signature 肥肥蟹海鲜饭店 Signature Fei Fei Crab']"
mixstore,convenience_store,MiX Store @ PJ Uptown,"67-G, Jalan SS21/37, 47400 Petaling Jaya, Selangor",3.13526,101.6213203,PJ Uptown,Selangor,"['Restoran Kopitiam Bintang', 'Burger Sebelah Bintang Kopitiam', 'Wise Crafters Oatsome Bar']"
