feature_name,feature_tag,Name,Address,Latitude,Longitude
99 Speedmart,convenience_store,1122 - Subang Jaya SS17,"NO: 7 & 9 (Ground Floor), Wisma Dicor, Jalan SS17/1A, 47500 Subang Jaya,Selangor Darul Ehsan.",3.079152,101.580552
99 Speedmart,convenience_store,1123 - Dataran Mentari,"No.12A (Ground Floor), Jalan PJS 8/11, Dataran Mentari, 46150 Petaling Jaya, Selangor Darul Ehsan.",3.077941,101.610476
99 Speedmart,convenience_store,1124 - Taman Meru Indah,"No: 39A,Jalan Meru Indah 1, Taman Meru Indah, 42200 Kapar  Klang, Selangor Darul Ehsan.",3.13591,101.41874
99 Speedmart,convenience_store,"1125 - Jalan Pekan Baru, Meru","L6-1-13, Jalan Pekan Baru 35, Off Jalan Meru ,41050 Klang Selangor Darul Ehsan.",3.064228,101.45567
99 Speedmart,convenience_store,1126 - Taman Bukit Kinrara,"No: 2 & 4, Jalan TBK 1/6,Taman Bukit Kinrara,47170 Puchong,Selangor Darul Ehsan.",3.041194,101.636097
99 Speedmart,convenience_store,1127 - Taman Tun,"NO: 20 & 22 (Ground Floor),  Lorong Rahim Kajai 14,  Taman Tun Dr. Ismail,60000 Kuala Lumpur.",3.154775,101.623169
99 Speedmart,convenience_store,"1128 - Jalan Kapar, Klang","No. 14 & 16 (Ground Floor), Jalan Kapar, 41000 Klang, Selangor Darul Ehsan.",3.05052,101.448456
99 Speedmart,convenience_store,1129 - Jalan Besar Pekan Kapar,"No. 258 & 260 (Ground Floor), Jalan Besar / KU 13,Pekan Kapar, 42200 Kapar, Selangor Darul Ehsan.",3.139038,101.370181
99 Speedmart,convenience_store,1130 - Taman Putra Budiman,"No.9, 11 & 13 (G), Jalan Budiman 2/3,   Putra Square, Taman Putra Budiman,   43300 Balakong, Selangor Darul Ehsan.",3.010574,101.736637
99 Speedmart,convenience_store,"1131 - PJ, Sec 11","No: 17, Jalan 11/2,  Section 11,  46200 Petaling Jaya,Selangor Darul Ehsan.",3.110809,101.645495
99 Speedmart,convenience_store,11314 - (SBH) Inanam Business Centre,"Lot No.60 & 61 (Ground Floor), Block H, Inanam Business Centre, Batu 6, Jalan Tuaran, 88450 Kota Kinabalu, Sabah",,
99 Speedmart,convenience_store,"1132 - PJ, SS6","No: B-G-01 (Ground Floor),  Dataran Glomac,  Jalan SS 6/20, Kelana Jaya,47301 Petaling Jaya,  Selangor Darul Ehsan.",3.102217,101.600273
99 Speedmart,convenience_store,1133 - Sunway PJS 9,"No.UG23, Jalan PJS 9/1A, Bandar Sunway, 46150 Petaling Jaya, Selangor Darul Ehsan.",3.060832,101.610133
99 Speedmart,convenience_store,"1134 - Kota Damansara, Sek 8","No: 32 (Ground Floor),  Jalan Pekaka 8/4,  Seksyen 8, Kota Damansara,47810 Petaling Jaya,  Selangor Darul Ehsan.",3.175728,101.575436
99 Speedmart,convenience_store,"1136 - Bangi, Sek 7","No: 62 (G) ,Jalan 7/7 B, Section 7, 43650 Bandar Baru Bangi, Selangor Darul Ehsan.",2.97122,101.772963
99 Speedmart,convenience_store,1137 - Bukit Rahman Putra,"No: 7 & 9 (Ground Floor),  Jalan BRP 6/12,  Bukit Rahman Putra,47000 Shah Alam,  Selangor Darul Ehsan.",3.227564,101.558109
99 Speedmart,convenience_store,1138 - Taman Raja Uda,"No: 7 (G), Lorong Orkid 2B, Off Jalan Lengkongan, Taman Raja Uda, 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.010841,101.405844
99 Speedmart,convenience_store,1139 - Sultan Suleiman 2,"No:10 (G), Lingkiran Sultan Abdul Samad 2, Bandar Sultan Suleiman ,42200 Pelabuhan Klang Serlangor Darul Ehsan.",,
