feature_name,feature_tag,Name,Address,Longitude,Latitude
mynews,convenience_store,myNEWS (Maru Kafe) @ M City Ampang (G Floor),"K-01-G & JK-02-G, M CITY AMPANG, JALAN AMPANG",101.7475801,3.1587687
mynews,convenience_store,myNEWS (Maru Kafe) @ Maxim Alam Damai (G Floor) ,"G-10, MAXIM ALAM DAMAI NO. 43, JALAN 9, TAMAN LEN SENG, CHERAS",101.7423352,3.0760017
mynews,convenience_store,myNEWS @ Maxim Citylights (G Floor) ,"S-G-26, GROUND FLOOR, MAXIM CITYLIGHTS @ SENTUL, JALAN SENTUL PASAR, SENTUL PASAR",101.6897341,3.2077721
mynews,convenience_store,myNEWS @ Medan Niaga Tasik Damai,"NO. 7, GROUND FLOOR, JALAN TASIK UTAMA 3, MEDAN NIAGA TASIK DAMAI, SUNGAI BESI",101.709564,3.060773
mynews,convenience_store,myNEWS (Maru Kafe) @ Megan Avenue 1,"BLOCK B-0-1, MEGAN AVENUE 1 189, JALAN TUN RAZAK",101.716967,3.162111
mynews,convenience_store,myNEWS @ Melawati Mall (LG Floor) ,"LG-02(B), UP2-01, MELAWATI MALL, 355, JALAN BANDAR MELAWATI PUSAT BANDAR MELAWATI",101.748277,3.210537
mynews,convenience_store,myNEWS (Maru Kafe) @ Menara Hlx,"Lot1-02, Level 1, Menara HLX, No.3, Jalan Kia Peng","",""
mynews,convenience_store,myNEWS @ Menara MBF (LG2 Floor) ,"LOT LG2-B, MENARA MBF JALAN SULTAN ISMAIL",101.709079,3.153703
mynews,convenience_store,myNEWS @ Menara Prestige (G Floor) ,"UNIT G-4, GROUND FLOOR, MENARA PRESTIGE, 1, JALAN PINANG",101.7099116,3.1558891
mynews,convenience_store,myNEWS (Maru Kafe) @ Menara Telekom (LG Floor),"SHOP 3, LG 1, MENARA TELEKOM, JALAN PANTAI BARU",101.6656244,3.1160061
mynews,convenience_store,myNEWS @ Menara UAB (G Floor) ,"LOT 1A, GROUND FLOOR, MENARA UAB, NO. 6, JALAN TUN PERAK",101.6956659,3.1505848
mynews,convenience_store,myNEWS (Maru Kafe) @ Mercu Summer Suites (1st Floor),"LOT NO. 1-02, LEVEL 1, MERCU SUMMER SUITES, NO. 8, JALAN CENDANA, OFF JALAN SULTAN ISMAIL",101.7049162,3.1588212
mynews,convenience_store,myNEWS @ Metro Prima (G Floor),"G15, METRO PRIMA SHOPPING CENTRE, JALAN KEPONG, KEPONG",101.6390626,3.2133114
