feature_name,feature_tag,Name,Address,Latitude,Longitude,Location,Nearest(poi)
familymart,convenience_store,FAMILYMART @Taman Eng Ann,"No 2, Lorong Kasawari 4B, Taman Eng Ann, Klang, 41150 Selangor",3.057183,101.459965,Taman Eng Ann,"['Cocorica', 'FamilyMart', '金刚茶餐室']"
familymart,convenience_store,FAMILYMART @Prima Sri Gombak,"No 13G (Ground Floor), Jalan Prima SG 1, Prima Sri Gombak, 68100 Batu Caves, Selangor",3.238809,101.699845,Prima Sri Gombak,"['HSBC Amanah @ Prima Sri Gombak', 'Airish Beauty & Spa', 'Secret Recipe']"
familymart,convenience_store,FAMILYMART @Seksyen 7,"No 17, Jalan Plumbum R7/R, Seksyen 7, 40000 Shah Alam, Selangor",3.067883,101.489494,Seksyen 7,"['CrazeeCausa', 'Ninjaz', 'Family Mart']"
familymart,convenience_store,FAMILYMART @Mines Resort City,"The Mines, L2-K6, Level 2, Jalan Dulang, Mines Resort City, Seri Kembangan, 43300 Selangor",3.028024,101.717657,Mines Resort City,"['Seoul Garden The Mines', 'Evolution Optical Sdn Bhd', 'Seoul Garden']"
familymart,convenience_store,FAMILYMART @Desa Aman Puri,"1-36A, Jalan Desa 1/3, Desa Aman Puri, Kepong, 52100 Kuala Lumpur",3.211579,101.615653,Desa Aman Puri,"['Family Mart Aman Puri', 'Pet Save @ Aman Puri', 'C&C Salon']"
familymart,convenience_store,FAMILYMART @Seksyen 18,"27G, Jalan Pinang B, 18/B, Seksyen 18, 40000 Shah Alam, Selangor",3.044483,101.51803,Seksyen 18,"['Family Mart Seksyen 18', 'Poliklinik Rakyat Dr Jega', 'Foto SZ']"
familymart,convenience_store,FAMILYMART @Jalan Kuchai Maju 8,"5G, Jalan Kuchai Maju 8, Kuchai Lama, 58200 Kuala Lumpur",3.089626,101.686656,Jalan Kuchai Maju 8,"['足悦足疗保健中心', '湘满清酒楼 Restaurant Xiang Man Qing', 'Family Mart Kuchai Lama']"
familymart,convenience_store,FAMILYMART @Dataran Dwitasik,"No 61, Jalan Dwitasik 1, Dataran Dwitasik, Bandar Sri Permaisuri, 56000 Kuala Lumpur",3.100978,101.712486,Dataran Dwitasik,"['Pakar Ekzos Kaki Exhaust', 'Twolip Dreadshoppe', 'Agrobank Cheras']"
familymart,convenience_store,FAMILYMART @Bandar Menjalara,"55G, Jalan 3/62A, Bandar Menjalara, kepong, 52100 Kuala Lumpur",3.195159,101.630762,Bandar Menjalara,"['Zen & Co', '新高原海鲜火锅饭店', 'Lucky Star Cafe']"
familymart,convenience_store,FAMILYMART @62502 Putrajaya,"LG-72, Lower Ground Floor, IOI City Tower Two, Lebuh IRC, IOI Resort City, 62502 Putrajaya, Sepang, Selangor",2.969659,101.712434,62502 Putrajaya,"['A-Saloon', 'NYX Professional Makeup', 'Clarks']"
familymart,convenience_store,FAMILYMART @Jalan Metro Pudu 2,"48G, Jalan Metro Pudu 2, off Jalan Yew, 55100 Kuala Lumpur",3.129395,101.714147,Jalan Metro Pudu 2,"['Theater Room HELP College', 'Family Mart @ Fraser Business Park', 'Room #842']"
familymart,convenience_store,FAMILYMART @Glenmarie,"No 3, jalan Peniaga U1 / 34 ,  Glenmarie , Seksyen U 1 , 40150 Shah Alam",3.081959,101.559207,Glenmarie,"['Pusat Bekam Glenmarie', 'Family Mart', 'Familymart']"
