feature_name,feature_tag,name,Address,Latitude,Longitude,Location,Nearest(poi)
99speedmart,convenience_store,99SpeedMart @Sungai Long 1,"No.15 & 17 (G), Jalan SL 1/3 ,Bandar Sungai Long, 43200 Kajang, Selangor Darul Ehsan.",3.040519,101.793392,Sungai Long 1,"['Don-Fuku 丼福', 'Machi Noodle 妈子面猪肉粉', 'Guardian Pharmacy']"
99speedmart,convenience_store,99SpeedMart @Shah Alam Sek 7 (1),"No: QG 43 & QG 45 (Ground Floor),  Jalan Plumbum U7/U,  Seksyen 7, 40000 Shah Alam,Selangor Darul Ehsan.",3.067217,101.490044,Shah Alam Sek 7 (1),"['Otai Burger Stall', 'Abichail Barbershop']"
99speedmart,convenience_store,99SpeedMart @Alam Jaya,"32 & 34(G), Jalan Alam Jaya 19, Taman Alam Jaya, 43200 Cheras, Selangor.",3.079837,101.765122,Alam Jaya,"['鼎丰海鲜饭店', 'Restaurant Seafood L&H']"
99speedmart,convenience_store,99SpeedMart @Rawang,"No.55 (G) , Jalan Bandar Rawang 3, 48000 Rawang, Selangor Darul Ehsan.",3.323698,101.577689,Rawang,"['Multicare Pharmacy Rawang', 'Room 18', 'Q5 Pool']"
99speedmart,convenience_store,99SpeedMart @Batang Berjuntai,"NO: 26 & 28 (Ground Floor),  Jalan Berjuntai 4,  45600 Batang Berjuntai, Selangor Darul Ehsan.",3.379125,101.410371,Batang Berjuntai,"['Restoran Wak Rom', 'Farmasi Materia Medica', 'Pejabat Post Batang Berjuntai']"
99speedmart,convenience_store,99SpeedMart @Taman Banting Indah,"No: 202, 204 & 206.(Ground Floor) Jalan Morib,Taman Banting Indah,42700 Banting,Selangor Darul Ehsan.",2.805874,101.49497,Taman Banting Indah,"['Kein Seng Tyre Battery Services', 'Madam Kopi-o', 'Pak Li Kopitiam']"
99speedmart,convenience_store,99SpeedMart @Jalan Istana,"No. 2 & 4 (G), Lorong Tingkat / KS 01, Klang Bandar Diraja, 41000 Klang, Selangor Darul Ehsan.",3.040465,101.448418,Jalan Istana,"[""Smiley's Bistro"", 'AIA Klang']"
99speedmart,convenience_store,99SpeedMart @Pandan Mewah,"No. B4-G-01, Block B, Hata Square, Jalan Mewah 1/1, 68000 Pandan Mewah, Selangor Darul Ehsan.",3.126268,101.763631,Pandan Mewah,"['Cosway', 'Poliklinik Hata Mewah', 'SSN9 Masakan Kampung']"
99speedmart,convenience_store,99SpeedMart @Telok Panglima Garang,"No.43,75 & 77 (Ground Floor),Jalan Besar,Pekan Telok,42500 Telok Panglima Garang,Selangor Darul Ehsan.",2.908646,101.467041,Telok Panglima Garang,"['Kutiq Andaman', 'newplace']"
99speedmart,convenience_store,99SpeedMart @Bandar Bukit Raja 1,"No.1 & 3, Jalan Zapin 1 , 41050 Bandar Bukit Raja Klang, Selangor Darul Ehsan.",3.07822,101.44066,Bandar Bukit Raja 1,"['Ramly Burger Stall', 'Sime Darby Project Office']"
99speedmart,convenience_store,99SpeedMart @Bayu Tinggi,"No.48 & 50 (G), Jalan Bayu Tinggi 8/KS 6, Batu Unjur, 41200 Klang, Selangor Darul Ehsan.",3.012406,101.428987,Bayu Tinggi,"['555 杂菜饭', 'Restoran Tou Yen 桃园海鲜饭店']"
99speedmart,convenience_store,99SpeedMart @Kayu Ara 1,"No: 8 & 9 (Ground Floor),  Pelangi One Avenue, Jalan PJU 6/A,  47400 Petaling Jaya, Selangor Darul Ehsan.",3.139445,101.614328,Kayu Ara 1,"['Cosway Farmasi', 'One Avenue (Dataran Pelangi Utama)', 'Despley']"
99speedmart,convenience_store,99SpeedMart @Taman Setia Rawang,"No.33 & 35 (G), Jalan Setia Rawang 1, Taman Setia, 48000 Rawang, Selangor Darul Ehsan.",3.303294,101.598813,Taman Setia Rawang,"['7 Eleven', 'Penjual & Servis Motor Gemuk', 'Restoran Keng Kee']"
99speedmart,convenience_store,99SpeedMart @Taman Jati Rawang,"No.37&39 (G), Jalan 1 B, Batu 17 Taman Jati 48000 Rawang Selangor.",3.307444,101.585758,Taman Jati Rawang,"['Restoran TTE Foodland', 'Restaurant 1288', 'Maybank (Pusat Pembiayaan Automobil)']"
99speedmart,convenience_store,99SpeedMart @Sungai Sembilang,"No: 7 & 9 (Ground Floor),  Jalan Kenari 1, Taman Kenari,  Sungai Sembilang, 45800 Jeram, Selangor Darul Ehsan.",3.191807,101.314538,Sungai Sembilang,"['Ninety Nine Speedmart Sg. Sembilang', 'Kedai Kopi Shin Lok (新乐茶餐室)', 'Masjid An Naim']"
99speedmart,convenience_store,99SpeedMart @Subang Jaya SS15,"NO: 3 & 5 (Ground Floor),  Jalan SS15/8A,  47500 Subang Jaya,Selangor Darul Ehsan.",3.074159,101.58742,Subang Jaya SS15,"['Lim Mesra Trading', 'Spacialist (Nails.Waxing)', 'Restoran Silva Tandoori Corner']"
